index,name,team,minutes
Matthijs de Ligt2024-11-03T16:30:00Z,Matthijs de Ligt,Man Utd,1
Victor Lindelöf2024-11-03T16:30:00Z,Victor Lindelöf,Man Utd,1
Tyrell Malacia2024-11-03T16:30:00Z,Tyrell Malacia,Man Utd,0
Diogo Dalot Teixeira2024-11-03T16:30:00Z,Diogo Dalot Teixeira,Man Utd,1
Harry Maguire2024-11-03T16:30:00Z,Harry Maguire,Man Utd,1
Luke Shaw2024-11-03T16:30:00Z,Luke Shaw,Man Utd,0
Lisandro Martínez2024-11-03T16:30:00Z,Lisandro Martínez,Man Utd,1
Jonny Evans2024-11-03T16:30:00Z,Jonny Evans,Man Utd,1
Nathaniel Clyne2024-11-02T17:30:00Z,Nathaniel Clyne,Crystal Palace,1
Nathan Wood-Gordon2024-11-02T15:00:00Z,Nathan Wood-Gordon,Southampton,0
Juan Larios López2024-11-02T15:00:00Z,Juan Larios López,Southampton,0
Tyrick Mitchell2024-11-02T17:30:00Z,Tyrick Mitchell,Crystal Palace,1
Charlie Taylor2024-11-02T15:00:00Z,Charlie Taylor,Southampton,1
Jan Bednarek2024-11-02T15:00:00Z,Jan Bednarek,Southampton,1
Joel Ward2024-11-02T17:30:00Z,Joel Ward,Crystal Palace,0
Ryan Manning2024-11-02T15:00:00Z,Ryan Manning,Southampton,1
Chris Richards2024-11-02T17:30:00Z,Chris Richards,Crystal Palace,0
Ronnie Edwards2024-11-02T15:00:00Z,Ronnie Edwards,Southampton,0
Marc Guéhi2024-11-02T17:30:00Z,Marc Guéhi,Crystal Palace,1
Rob Holding2024-11-02T17:30:00Z,Rob Holding,Crystal Palace,0
Jack Stephens2024-11-02T15:00:00Z,Jack Stephens,Southampton,1
James Bree2024-11-02T15:00:00Z,James Bree,Southampton,0
Armel Bella-Kotchap2024-11-02T15:00:00Z,Armel Bella-Kotchap,Southampton,0
Daniel Muñoz2024-11-02T17:30:00Z,Daniel Muñoz,Crystal Palace,1
Maxence Lacroix2024-11-02T17:30:00Z,Maxence Lacroix,Crystal Palace,1
Chadi Riad Dnanou2024-11-02T17:30:00Z,Chadi Riad Dnanou,Crystal Palace,0
Kyle Walker-Peters2024-11-02T15:00:00Z,Kyle Walker-Peters,Southampton,1
Taylor Harwood-Bellis2024-11-02T15:00:00Z,Taylor Harwood-Bellis,Southampton,1
Sugawara Yukinari2024-11-02T15:00:00Z,Sugawara Yukinari,Southampton,1
Caleb Kporha2024-11-02T17:30:00Z,Caleb Kporha,Crystal Palace,0
