index,name,team,points,value
David Brooks2024-11-09T15:00:00Z,David Brooks,Bournemouth,0.700725344,49
Ethan Nwaneri2024-11-10T16:30:00Z,Ethan Nwaneri,Arsenal,0.699883293,45
Renato Palma Veiga2024-11-10T16:30:00Z,Renato Palma Veiga,Chelsea,0.662220066,45
Endo Wataru2024-11-09T20:00:00Z,Endo Wataru,Liverpool,0.655032571,47
Yehor Yarmoliuk2024-11-09T15:00:00Z,Yehor Yarmoliuk,Brentford,0.646720695,44
Archie Gray2024-11-10T14:00:00Z,Archie Gray,Spurs,0.6432277,47
Mikey Moore2024-11-10T14:00:00Z,Mikey Moore,Spurs,0.634051633,45
Andy Irving2024-11-09T15:00:00Z,Andy Irving,West Ham,0.632087127,48
Kasey McAteer2024-11-10T14:00:00Z,Kasey McAteer,Leicester,0.601550376,48
Jaden Philogene2024-11-09T20:00:00Z,Jaden Philogene,Aston Villa,0.598367986,53
Jack Taylor2024-11-10T14:00:00Z,Jack Taylor,Ipswich,0.575256782,48
Manuel Ugarte2024-11-10T14:00:00Z,Manuel Ugarte,Man Utd,0.57463736,49
Yankuba Minteh2024-11-09T17:30:00Z,Yankuba Minteh,Brighton,0.561720612,53
Boubakary Soumaré2024-11-10T14:00:00Z,Boubakary Soumaré,Leicester,0.559381365,44
Cheick Doucouré2024-11-09T15:00:00Z,Cheick Doucouré,Crystal Palace,0.552495639,49
Emiliano Buendía Stati2024-11-09T20:00:00Z,Emiliano Buendía Stati,Aston Villa,0.520667334,53
Martin Ødegaard2024-11-10T16:30:00Z,Martin Ødegaard,Arsenal,0.490593681,82
Rodrigo Martins Gomes2024-11-09T15:00:00Z,Rodrigo Martins Gomes,Wolves,0.481747535,52
Hwang Hee-chan2024-11-09T15:00:00Z,Hwang Hee-chan,Wolves,0.478347639,61
Lesley Ugochukwu2024-11-09T15:00:00Z,Lesley Ugochukwu,Southampton,0.463204402,45
Jorge Luiz Frello Filho2024-11-10T16:30:00Z,Jorge Luiz Frello Filho,Arsenal,0.443632948,48
Wilson Odobert2024-11-10T14:00:00Z,Wilson Odobert,Spurs,0.441583685,53
Jakub Moder2024-11-09T17:30:00Z,Jakub Moder,Brighton,0.421251209,44
Kobbie Mainoo2024-11-10T14:00:00Z,Kobbie Mainoo,Man Utd,0.420460685,52
Saša Lukić2024-11-09T15:00:00Z,Saša Lukić,Fulham,0.408747884,49
Myles Lewis-Skelly2024-11-10T16:30:00Z,Myles Lewis-Skelly,Arsenal,0.395410897,45
Asher Agbinone2024-11-09T15:00:00Z,Asher Agbinone,Crystal Palace,0.382404275,45
James Garner2024-11-09T15:00:00Z,James Garner,Everton,0.375220562,50
Ben Brereton Díaz2024-11-09T15:00:00Z,Ben Brereton Díaz,Southampton,0.343955536,51
James Milner2024-11-09T17:30:00Z,James Milner,Brighton,0.326968458,50
Rodrigo 'Rodri' Hernandez2024-11-09T17:30:00Z,Rodrigo 'Rodri' Hernandez,Man City,0.30668524,63
Mason Mount2024-11-10T14:00:00Z,Mason Mount,Man Utd,0.296685053,63
Ibrahim Sangaré2024-11-10T14:00:00Z,Ibrahim Sangaré,Nott'm Forest,0.291294191,44
Jayce Fitzgerald2024-11-10T14:00:00Z,Jayce Fitzgerald,Man Utd,0.27689899,45
Federico Chiesa2024-11-09T20:00:00Z,Federico Chiesa,Liverpool,0.260451192,68
Lucas Bergvall2024-11-10T14:00:00Z,Lucas Bergvall,Spurs,0.243133782,45
Paris Maghoma2024-11-09T15:00:00Z,Paris Maghoma,Brentford,0.233980451,45
Tim Iroegbunam2024-11-09T15:00:00Z,Tim Iroegbunam,Everton,0.228485072,45
Massimo Luongo2024-11-10T14:00:00Z,Massimo Luongo,Ipswich,0.214837973,45
Antony Matheus dos Santos2024-11-10T14:00:00Z,Antony Matheus dos Santos,Man Utd,0.212031889,57
Billy Gilmour2024-11-09T17:30:00Z,Billy Gilmour,Brighton,0.208061372,50
Kiernan Dewsbury-Hall2024-11-10T16:30:00Z,Kiernan Dewsbury-Hall,Chelsea,0.20141524,56
Ryan Fraser2024-11-09T15:00:00Z,Ryan Fraser,Southampton,0.199924617,48
Daniel Castelo Podence2024-11-09T15:00:00Z,Daniel Castelo Podence,Wolves,0.192185569,55
Eric da Silva Moreira2024-11-10T14:00:00Z,Eric da Silva Moreira,Nott'm Forest,0.172048417,45
Harvey Elliott2024-11-09T20:00:00Z,Harvey Elliott,Liverpool,0.156702516,52
Conor Gallagher2024-11-10T16:30:00Z,Conor Gallagher,Chelsea,0.152072279,59
Pascal Groß2024-11-09T17:30:00Z,Pascal Groß,Brighton,0.151972565,65
Jacob Wright2024-11-09T17:30:00Z,Jacob Wright,Man City,0.149126706,45
Moussa Diaby2024-11-09T20:00:00Z,Moussa Diaby,Aston Villa,0.148609449,65
Toby Collyer2024-11-10T14:00:00Z,Toby Collyer,Man Utd,0.141761535,45
Philip Billing2024-11-09T15:00:00Z,Philip Billing,Bournemouth,0.138715495,48
Scott McTominay2024-11-10T14:00:00Z,Scott McTominay,Man Utd,0.138666097,49
Samuel Edozie2024-11-09T15:00:00Z,Samuel Edozie,Southampton,0.132661244,49
Marcus Myers-Harness2024-11-10T14:00:00Z,Marcus Myers-Harness,Ipswich,0.127821095,49
Maxwel Cornet2024-11-09T15:00:00Z,Maxwel Cornet,Southampton,0.127563093,48
Frank Onyeka2024-11-09T15:00:00Z,Frank Onyeka,Brentford,0.124403086,49
Solly March2024-11-09T17:30:00Z,Solly March,Brighton,0.122279141,65
Carlos Alcaraz Durán2024-11-09T15:00:00Z,Carlos Alcaraz Durán,Southampton,0.119796089,49
Danilo dos Santos de Oliveira2024-11-10T14:00:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,0.107409877,47
Francisco Jorge Tomás Oliveira2024-11-09T15:00:00Z,Francisco Jorge Tomás Oliveira,Wolves,0.104583014,45
Luis Guilherme Lira dos Santos2024-11-09T15:00:00Z,Luis Guilherme Lira dos Santos,West Ham,0.100911346,47
Lewis O'Brien2024-11-10T14:00:00Z,Lewis O'Brien,Nott'm Forest,0.092097514,50
Pierre-Emile Højbjerg2024-11-10T14:00:00Z,Pierre-Emile Højbjerg,Spurs,0.090439351,50
Manor Solomon2024-11-10T14:00:00Z,Manor Solomon,Spurs,0.085169801,54
Romain Faivre2024-11-09T15:00:00Z,Romain Faivre,Bournemouth,0.083981231,50
Giovani Lo Celso2024-11-10T14:00:00Z,Giovani Lo Celso,Spurs,0.082625473,49
Samuel Iling-Junior2024-11-09T20:00:00Z,Samuel Iling-Junior,Aston Villa,0.081952005,54
James McAtee2024-11-09T17:30:00Z,James McAtee,Man City,0.080308481,47
Matt O'Riley2024-11-09T17:30:00Z,Matt O'Riley,Brighton,0.080209247,55
Samuel Amo-Ameyaw2024-11-09T15:00:00Z,Samuel Amo-Ameyaw,Southampton,0.079339663,45
Boubacar Traoré2024-11-09T15:00:00Z,Boubacar Traoré,Wolves,0.079199367,48
Lewis Miley2024-11-10T14:00:00Z,Lewis Miley,Newcastle,0.079115542,50
Yunus Emre Konak2024-11-09T15:00:00Z,Yunus Emre Konak,Brentford,0.079070506,45
Bryan Gil Salvatierra2024-11-10T14:00:00Z,Bryan Gil Salvatierra,Spurs,0.074774526,50
Fábio Ferreira Vieira2024-11-10T16:30:00Z,Fábio Ferreira Vieira,Arsenal,0.070139618,54
Josh Dasilva2024-11-09T15:00:00Z,Josh Dasilva,Brentford,0.069795058,48
Facundo Pellistri Rebollo2024-11-10T14:00:00Z,Facundo Pellistri Rebollo,Man Utd,0.069328157,50
George Earthy2024-11-09T15:00:00Z,George Earthy,West Ham,0.066197705,45
Gustavo Nunes Fernandes Gomes2024-11-09T15:00:00Z,Gustavo Nunes Fernandes Gomes,Brentford,0.064597928,49
Martial Godo2024-11-09T15:00:00Z,Martial Godo,Fulham,0.063387034,45
Josh King2024-11-09T15:00:00Z,Josh King,Fulham,0.063387034,45
Nathan Broadhead2024-11-10T14:00:00Z,Nathan Broadhead,Ipswich,0.06141908,49
Oscar Bobb2024-11-09T17:30:00Z,Oscar Bobb,Man City,0.059630384,47
Jeremy Sarmiento Morante2024-11-09T17:30:00Z,Jeremy Sarmiento Morante,Brighton,0.059410447,49
Luke Harris2024-11-09T15:00:00Z,Luke Harris,Fulham,0.059347623,45
Nico O'Reilly2024-11-09T17:30:00Z,Nico O'Reilly,Man City,0.058015295,50
Lewis Dobbin2024-11-09T20:00:00Z,Lewis Dobbin,Aston Villa,0.056052428,50
Enzo Barrenechea2024-11-09T20:00:00Z,Enzo Barrenechea,Aston Villa,0.054875815,49
Harrison Armstrong2024-11-09T15:00:00Z,Harrison Armstrong,Everton,0.054592568,45
Ryan Trevitt2024-11-09T15:00:00Z,Ryan Trevitt,Brentford,0.053065655,45
Ibrahim Osman2024-11-09T17:30:00Z,Ibrahim Osman,Brighton,0.051511292,50
Andrew Moran2024-11-09T17:30:00Z,Andrew Moran,Brighton,0.051511292,50
Tawanda Chirewa2024-11-09T15:00:00Z,Tawanda Chirewa,Wolves,0.05076058,45
Carney Chukwuemeka2024-11-10T16:30:00Z,Carney Chukwuemeka,Chelsea,0.050499121,48
Mahmoud Dahoud2024-11-09T17:30:00Z,Mahmoud Dahoud,Brighton,0.050270143,49
Hamza Choudhury2024-11-10T14:00:00Z,Hamza Choudhury,Leicester,0.049253466,44
Hamed Traorè2024-11-09T15:00:00Z,Hamed Traorè,Bournemouth,0.048304881,45
Jaidon Anthony2024-11-09T15:00:00Z,Jaidon Anthony,Bournemouth,0.048205041,45
Joe Hodge2024-11-09T15:00:00Z,Joe Hodge,Wolves,0.046687401,45
Luke Cundle2024-11-09T15:00:00Z,Luke Cundle,Wolves,0.046683516,45
Enso González2024-11-09T15:00:00Z,Enso González,Wolves,0.046625194,45
Alfie Devine2024-11-10T14:00:00Z,Alfie Devine,Spurs,0.046451633,45
Jack Fletcher2024-11-10T14:00:00Z,Jack Fletcher,Man Utd,0.044148186,45
James McConnell2024-11-09T20:00:00Z,James McConnell,Liverpool,0.04333277,44
Justin Devenny2024-11-09T15:00:00Z,Justin Devenny,Crystal Palace,0.042832871,45
Josh Bowler2024-11-10T14:00:00Z,Josh Bowler,Nott'm Forest,0.042351534,45
Alex Mighten2024-11-10T14:00:00Z,Alex Mighten,Nott'm Forest,0.042165886,45
Stefan Bajčetić Maquieira2024-11-09T20:00:00Z,Stefan Bajčetić Maquieira,Liverpool,0.041517051,45
Hannibal Mejbri2024-11-10T14:00:00Z,Hannibal Mejbri,Man Utd,0.040046198,45
Myles Peart-Harris2024-11-09T15:00:00Z,Myles Peart-Harris,Brentford,0.039969597,45
Tyler Morton2024-11-09T20:00:00Z,Tyler Morton,Liverpool,0.039903579,44
Bobby Clark2024-11-09T20:00:00Z,Bobby Clark,Liverpool,0.039230724,45
Jenson Metcalfe2024-11-09T15:00:00Z,Jenson Metcalfe,Everton,0.039207737,45
Naouirou Ahamada2024-11-09T15:00:00Z,Naouirou Ahamada,Crystal Palace,0.038288721,45
Salah-Eddine Oulad M'hand2024-11-10T16:30:00Z,Salah-Eddine Oulad M'hand,Arsenal,0.038008184,45
Kaden Rodney2024-11-09T15:00:00Z,Kaden Rodney,Crystal Palace,0.037511477,45
Franco Umeh-Chibueze2024-11-09T15:00:00Z,Franco Umeh-Chibueze,Crystal Palace,0.037511477,45
Tony Yogane2024-11-09T15:00:00Z,Tony Yogane,Brentford,0.037316449,45
Will Alves2024-11-10T14:00:00Z,Will Alves,Leicester,0.037111393,45
Wanya Marçal-Madivádua2024-11-10T14:00:00Z,Wanya Marçal-Madivádua,Leicester,0.037111393,45
Ismeal Kabia2024-11-10T16:30:00Z,Ismeal Kabia,Arsenal,0.037105385,45
Leander Dendoncker2024-11-09T20:00:00Z,Leander Dendoncker,Aston Villa,0.036949913,45
Jesurun Rak-Sakyi2024-11-09T15:00:00Z,Jesurun Rak-Sakyi,Crystal Palace,0.036294669,45
Ethan Brierley2024-11-09T15:00:00Z,Ethan Brierley,Brentford,0.03626316,45
Matheus França de Oliveira2024-11-09T15:00:00Z,Matheus França de Oliveira,Crystal Palace,0.035649992,44
Ben Doak2024-11-09T20:00:00Z,Ben Doak,Liverpool,0.035482066,45
