index,name,team,minutes
Garang Kuol2024-11-10T14:00:00Z,Garang Kuol,Newcastle,0
Harrison Armstrong2024-11-09T15:00:00Z,Harrison Armstrong,Everton,0
Harvey Barnes2024-11-10T14:00:00Z,Harvey Barnes,Newcastle,1
Idrissa Gueye2024-11-09T15:00:00Z,Idrissa Gueye,Everton,1
Manuel Ugarte2024-11-10T14:00:00Z,Manuel Ugarte,Man Utd,1
Abdoulaye Doucouré2024-11-09T15:00:00Z,Abdoulaye Doucouré,Everton,1
Massimo Luongo2024-11-10T14:00:00Z,Massimo Luongo,Ipswich,0
Anthony Gordon2024-11-10T14:00:00Z,Anthony Gordon,Newcastle,1
Wes Burns2024-11-10T14:00:00Z,Wes Burns,Ipswich,1
Isaac Hayden2024-11-10T14:00:00Z,Isaac Hayden,Newcastle,0
Bruno Guimarães Rodriguez Moura2024-11-10T14:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,1
Cameron Humphreys2024-11-10T14:00:00Z,Cameron Humphreys,Ipswich,0
Tim Iroegbunam2024-11-09T15:00:00Z,Tim Iroegbunam,Everton,0
Conor Chaplin2024-11-10T14:00:00Z,Conor Chaplin,Ipswich,1
Marcus Myers-Harness2024-11-10T14:00:00Z,Marcus Myers-Harness,Ipswich,0
Nathan Broadhead2024-11-10T14:00:00Z,Nathan Broadhead,Ipswich,0
Omari Giraud-Hutchinson2024-11-10T14:00:00Z,Omari Giraud-Hutchinson,Ipswich,1
Maxwel Cornet2024-11-09T15:00:00Z,Maxwel Cornet,Southampton,0
Jenson Metcalfe2024-11-09T15:00:00Z,Jenson Metcalfe,Everton,0
Joelinton Cássio Apolinário de Lira2024-11-10T14:00:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,1
Jesper Lindstrøm2024-11-09T15:00:00Z,Jesper Lindstrøm,Everton,1
Joe Willock2024-11-10T14:00:00Z,Joe Willock,Newcastle,1
Joe White2024-11-10T14:00:00Z,Joe White,Newcastle,0
Jacob Murphy2024-11-10T14:00:00Z,Jacob Murphy,Newcastle,1
Miguel Almirón Rejala2024-11-10T14:00:00Z,Miguel Almirón Rejala,Newcastle,1
Jack Taylor2024-11-10T14:00:00Z,Jack Taylor,Ipswich,1
Kalvin Phillips2024-11-10T14:00:00Z,Kalvin Phillips,Ipswich,0
James Garner2024-11-09T15:00:00Z,James Garner,Everton,0
Jack Harrison2024-11-09T15:00:00Z,Jack Harrison,Everton,1
